timestamp,prediction,confidence,processing_time,hour,minute,day_of_week,is_fake,high_confidence,slow_processing
2025-08-17 19:19:43.502823,real,0.8099782553897138,0.11552590287787845,19,19,Sunday,0,1,0
2025-08-17 19:21:43.502823,real,0.8955108143494169,0.013389266474221104,19,21,Sunday,0,1,0
2025-08-17 19:23:43.502823,fake,0.803156135500187,0.1412847974244863,19,23,Sunday,1,1,0
2025-08-17 19:25:43.502823,real,0.8558584759568298,0.24150657340474657,19,25,Sunday,0,1,0
2025-08-17 19:27:43.502823,fake,0.8759827395054217,0.2603548952980372,19,27,Sunday,1,1,0
2025-08-17 19:29:43.502823,fake,0.8038825715679864,0.05147214041615892,19,29,Sunday,1,1,0
2025-08-17 19:31:43.502823,real,0.9006008066837294,0.38505331359250133,19,31,Sunday,0,1,0
2025-08-17 19:33:43.502823,real,0.8651576241909364,0.22341860991889434,19,33,Sunday,0,1,0
2025-08-17 19:35:43.502823,fake,0.8245464110236341,0.1543224526266413,19,35,Sunday,1,1,0
2025-08-17 19:37:43.502823,fake,0.7201278916977082,0.1734288793050413,19,37,Sunday,1,0,0
2025-08-17 19:39:43.502823,real,0.8029948525983982,0.019656538826990446,19,39,Sunday,0,1,0
2025-08-17 19:41:43.502823,real,0.8051072370466424,0.2841889427769465,19,41,Sunday,0,1,0
2025-08-17 19:43:43.502823,real,0.6039423882038136,0.11746882453831714,19,43,Sunday,0,0,0
2025-08-17 19:45:43.502823,fake,0.9009358082757634,0.06448530962131394,19,45,Sunday,1,1,0
2025-08-17 19:47:43.502823,real,0.7074730381091576,0.03450032443867241,19,47,Sunday,0,0,0
2025-08-17 19:49:43.502823,fake,0.8325407121132735,0.21380511441758068,19,49,Sunday,1,1,0
2025-08-17 19:51:43.502823,real,0.9009741926004505,0.6320799802401422,19,51,Sunday,0,1,1
2025-08-17 19:53:43.502823,fake,0.7633856391453065,0.012862127123744386,19,53,Sunday,1,0,0
2025-08-17 19:55:43.502823,fake,0.8658699250962256,0.8701042194413532,19,55,Sunday,1,1,1
2025-08-17 19:57:43.502823,fake,0.8757506939056646,0.19607386758665082,19,57,Sunday,1,1,0
2025-08-17 19:59:43.502823,real,0.5366495037920813,0.13237202690732247,19,59,Sunday,0,0,0
2025-08-17 20:01:43.502823,real,0.7630798685612239,0.2588376228726191,20,1,Sunday,0,0,0
2025-08-17 20:03:43.502823,real,0.6407246168685603,0.13100189675669702,20,3,Sunday,0,0,0
2025-08-17 20:05:43.502823,real,0.6951569885145692,0.07386050941790652,20,5,Sunday,0,0,0
2025-08-17 20:07:43.502823,real,0.8177775422468817,0.5692309655419615,20,7,Sunday,0,1,1
2025-08-17 20:09:43.502823,fake,0.7173445430594214,0.3067608345794076,20,9,Sunday,1,0,0
2025-08-17 20:11:43.502823,fake,0.7605229104364942,0.38535815375386967,20,11,Sunday,1,0,0
2025-08-17 20:13:43.502823,real,0.5,0.11557898110795622,20,13,Sunday,0,0,0
2025-08-17 20:15:43.502823,real,0.7703248765386004,0.03746185458678231,20,15,Sunday,0,0,0
2025-08-17 20:17:43.502823,fake,0.8428768119836523,0.30842012681429115,20,17,Sunday,1,1,0
2025-08-17 20:19:43.502823,real,0.8901868239652512,0.0196000716859366,20,19,Sunday,0,1,0
2025-08-17 20:21:43.502823,real,0.850022391075324,0.47729596733561996,20,21,Sunday,0,1,0
2025-08-17 20:23:43.502823,real,0.99,0.7185445632410108,20,23,Sunday,0,1,1
2025-08-17 20:25:43.502823,real,0.8493035741263311,0.4067347882633945,20,25,Sunday,0,1,0
2025-08-17 20:27:43.502823,fake,0.7349750932978337,0.0782577222844536,20,27,Sunday,1,0,0
2025-08-17 20:29:43.502823,real,0.696350519973578,0.9737744193658757,20,29,Sunday,0,0,1
2025-08-17 20:31:43.502823,fake,0.8732698468844651,0.009966765614795883,20,31,Sunday,1,1,0
2025-08-17 20:33:43.502823,real,0.7756433561083628,0.04394529487855824,20,33,Sunday,0,0,0
2025-08-17 20:35:43.502823,fake,0.758852347002587,0.13168817857353973,20,35,Sunday,1,0,0
2025-08-17 20:37:43.502823,real,0.6208112548298408,0.5804970531913856,20,37,Sunday,0,0,1
2025-08-17 20:39:43.502823,fake,0.647776649800374,0.07835438843612652,20,39,Sunday,1,0,0
2025-08-17 20:41:43.502823,real,0.99,0.13818719718184785,20,41,Sunday,0,1,0
2025-08-17 20:43:43.502823,fake,0.7873874521726003,0.5897957183862278,20,43,Sunday,1,0,1
2025-08-17 20:45:43.502823,real,0.9711463698358948,0.2809710096128798,20,45,Sunday,0,1,0
2025-08-17 20:47:43.502823,real,0.6254814618631477,0.17133615666288562,20,47,Sunday,0,0,0
2025-08-17 20:49:43.502823,real,0.6752408765558751,0.046263253993625957,20,49,Sunday,0,0,0
2025-08-17 20:51:43.502823,real,0.7602890932232909,0.04024675033861004,20,51,Sunday,0,0,0
2025-08-17 20:53:43.502823,real,0.99,0.06397381953993708,20,53,Sunday,0,1,0
2025-08-17 20:55:43.502823,real,0.8021489038772139,0.9786431273720287,20,55,Sunday,0,1,1
2025-08-17 20:57:43.502823,real,0.7311676869598658,0.19846136828869915,20,57,Sunday,0,0,0
2025-08-17 20:59:43.502823,fake,0.7454087072567596,0.2793797898009488,20,59,Sunday,1,0,0
2025-08-17 21:01:43.502823,real,0.9718119063660552,0.21628881710929715,21,1,Sunday,0,1,0
2025-08-17 21:03:43.502823,fake,0.8711127319299501,0.3166544498516968,21,3,Sunday,1,1,0
2025-08-17 21:05:43.502823,fake,0.9027159599326509,0.2248171063615252,21,5,Sunday,1,1,0
2025-08-17 21:07:43.502823,real,0.9122851550154698,0.7466585118019269,21,7,Sunday,0,1,1
2025-08-17 21:09:43.502823,real,0.9009145637569389,0.3528262896707043,21,9,Sunday,0,1,0
2025-08-17 21:11:43.502823,real,0.5953031689793309,0.13498286108200044,21,11,Sunday,0,0,0
2025-08-17 21:13:43.502823,real,0.7537409261802392,0.31282636017567106,21,13,Sunday,0,0,0
2025-08-17 21:15:43.502823,real,0.8085077898408798,0.040578515499623914,21,15,Sunday,0,1,0
2025-08-17 21:17:43.502823,real,0.9585417761491026,0.1231015546389479,21,17,Sunday,0,1,0
2025-08-17 21:19:43.502823,real,0.9353955517312813,0.07664107008605588,21,19,Sunday,0,1,0
2025-08-17 21:21:43.502823,real,0.5312116646595777,0.06840154063475065,21,21,Sunday,0,0,0
2025-08-17 21:23:43.502823,real,0.7656861668816789,0.2549468358052427,21,23,Sunday,0,0,0
2025-08-17 21:25:43.502823,real,0.8025516341046226,0.1365651799947495,21,25,Sunday,0,1,0
2025-08-17 21:27:43.502823,real,0.8155108806154742,0.37938566806339513,21,27,Sunday,0,1,0
2025-08-17 21:29:43.502823,real,0.9334580262305195,0.30474566288953575,21,29,Sunday,0,1,0
2025-08-17 21:31:43.502823,fake,0.6374937247177728,0.08109225415001424,21,31,Sunday,1,0,0
2025-08-17 21:33:43.502823,real,0.8905394358092469,0.25631891557122627,21,33,Sunday,0,1,0
